WindowsVersion,ISOType,Language,FileName
1903,LP,de-de,Microsoft-Windows-NetFx3-OnDemand-Package~31bf3856ad364e35~amd64~de-de~.cab
1903,LP,de-de,Microsoft-Windows-InternetExplorer-Optional-Package~31bf3856ad364e35~amd64~de-de~.cab
2004,LP,fr-fr,Microsoft-Windows-LanguageFeatures-Basic-fr-fr-Package~31bf3856ad364e35~amd64~~.cab
2004,LP,fr-fr,Microsoft-Windows-LanguageFeatures-Handwriting-fr-fr-Package~31bf3856ad364e35~amd64~~.cab
2004,LP,fr-fr,Microsoft-Windows-LanguageFeatures-OCR-fr-fr-Package~31bf3856ad364e35~amd64~~.cab
2004,LP,fr-fr,Microsoft-Windows-LanguageFeatures-Speech-fr-fr-Package~31bf3856ad364e35~amd64~~.cab
2004,LP,fr-fr,Microsoft-Windows-LanguageFeatures-TextToSpeech-fr-fr-Package~31bf3856ad364e35~amd64~~.cab
2004,LP,fr-fr,Microsoft-Windows-NetFx3-OnDemand-Package~31bf3856ad364e35~amd64~fr-fr~.cab
2004,LP,fr-fr,Microsoft-Windows-InternetExplorer-Optional-Package~31bf3856ad364e35~amd64~fr-fr~.cab
2004,LP,fr-fr,Microsoft-Windows-MSPaint-FoD-Package~31bf3856ad364e35~amd64~fr-fr~.cab
2004,LP,fr-fr,Microsoft-Windows-Notepad-FoD-Package~31bf3856ad364e35~amd64~fr-fr~.cab
2004,LP,fr-fr,Microsoft-Windows-PowerShell-ISE-FOD-Package~31bf3856ad364e35~amd64~fr-fr~.cab
2004,LP,fr-fr,Microsoft-Windows-Printing-WFS-FoD-Package~31bf3856ad364e35~amd64~fr-fr~.cab
2004,LP,fr-fr,Microsoft-Windows-StepsRecorder-Package~31bf3856ad364e35~amd64~fr-fr~.cab
2004,LP,fr-fr,Microsoft-Windows-WordPad-FoD-Package~31bf3856ad364e35~amd64~fr-fr~.cab
1909,LP,fr-fr,Microsoft-Windows-LanguageFeatures-Basic-fr-fr-Package~31bf3856ad364e35~amd64~~.cab
1909,LP,fr-fr,Microsoft-Windows-LanguageFeatures-Handwriting-fr-fr-Package~31bf3856ad364e35~amd64~~.cab
1909,LP,fr-fr,Microsoft-Windows-LanguageFeatures-OCR-fr-fr-Package~31bf3856ad364e35~amd64~~.cab
1909,LP,fr-fr,Microsoft-Windows-LanguageFeatures-Speech-fr-fr-Package~31bf3856ad364e35~amd64~~.cab
1909,LP,fr-fr,Microsoft-Windows-LanguageFeatures-TextToSpeech-fr-fr-Package~31bf3856ad364e35~amd64~~.cab
1909,LP,fr-fr,Microsoft-Windows-NetFx3-OnDemand-Package~31bf3856ad364e35~amd64~fr-fr~.cab
1909,LP,fr-fr,Microsoft-Windows-InternetExplorer-Optional-Package~31bf3856ad364e35~amd64~fr-fr~.cab
1903,LP,fr-fr,Microsoft-Windows-LanguageFeatures-Basic-fr-fr-Package~31bf3856ad364e35~amd64~~.cab
1903,LP,fr-fr,Microsoft-Windows-LanguageFeatures-Handwriting-fr-fr-Package~31bf3856ad364e35~amd64~~.cab
1903,LP,fr-fr,Microsoft-Windows-LanguageFeatures-OCR-fr-fr-Package~31bf3856ad364e35~amd64~~.cab
1903,LP,fr-fr,Microsoft-Windows-LanguageFeatures-Speech-fr-fr-Package~31bf3856ad364e35~amd64~~.cab
1903,LP,fr-fr,Microsoft-Windows-LanguageFeatures-TextToSpeech-fr-fr-Package~31bf3856ad364e35~amd64~~.cab
